t,avg_biomass,coop_rate,avg_payoff
243,1.804702413309327e-05,0.0,5223.92
244,1.7245926544045052e-05,0.0,5239.68
245,1.650428675694477e-05,0.0,5255.6
246,1.5895373304872003e-05,0.0,5279.76
247,1.5331124136390497e-05,0.0,5303.8
248,1.4650585581090281e-05,0.0,5319.8
249,1.4020556804323712e-05,0.0,5336.68
250,1.3503280376320586e-05,0.0,5362.12
251,1.302394652507729e-05,0.0,5387.56
252,1.2445823305969234e-05,0.0,5403.6
253,1.1910608509593489e-05,0.0,5419.44
254,1.1471178002615585e-05,0.0,5443.8
255,1.1063979979016368e-05,0.0,5469.24
256,1.0572859095365115e-05,0.0,5485.24
257,1.0118189261291776e-05,0.0,5501.12
258,9.744889204330087e-06,0.0,5525.16
259,9.398970893242475e-06,0.0,5549.2
260,8.981759022792519e-06,0.0,5565.24
261,8.595512635877031e-06,0.0,5581.32
262,8.278390765606951e-06,0.0,5605.36
263,7.98452992109848e-06,0.0,5629.72
264,7.630104277832922e-06,0.0,5645.4
265,7.301984099584231e-06,0.0,5661.44
266,7.032585970799428e-06,0.0,5686.08
267,6.782948294891795e-06,0.0,5711.52
268,6.481860044917564e-06,0.0,5727.2
269,6.203118543726226e-06,0.0,5743.08
270,5.974262091171884e-06,0.0,5767.44
271,5.7621923330051615e-06,0.0,5791.6
272,5.506414654609673e-06,0.0,5807.84
273,5.269620766122531e-06,0.0,5824.52
274,5.075204801761357e-06,0.0,5849.96
275,4.8950493026268375e-06,0.0,5874.6
276,4.677763368786326e-06,0.0,5890.44
277,4.476604363744996e-06,0.0,5907.08
278,4.311445899869156e-06,0.0,5931.24
279,4.158401849423442e-06,0.0,5955.4
280,3.973815023504719e-06,0.0,5974.04
281,3.8029281976392746e-06,0.0,5991.68
282,3.66262425592967e-06,0.0,6017.12
283,3.532611638103241e-06,0.0,6043.68
284,3.3758030333413613e-06,0.0,6059.6
285,3.230632729903523e-06,0.0,6075.28
286,3.111442950186257e-06,0.0,6099.92
287,3.000995762980757e-06,0.0,6124.56
288,2.8677850465744146e-06,0.0,6141.12
289,2.744461198132103e-06,0.0,6157.36
290,2.6432081157119484e-06,0.0,6182.0
291,2.5493819634755137e-06,0.0,6207.96
292,2.4362179063721334e-06,0.0,6224.28
293,2.3314528566680885e-06,0.0,6240.36
294,2.2454371885986477e-06,0.0,6265.36
295,2.16573078225379e-06,0.0,6290.0
296,2.069596582492596e-06,0.0,6306.0
297,1.980597436855859e-06,0.0,6322.08
298,1.907526117954673e-06,0.0,6346.24
299,1.8398145897205004e-06,0.0,6371.24
300,1.7581474446519489e-06,0.0,6387.88
301,1.6825416116832014e-06,0.0,6405.2
302,1.620466661228839e-06,0.0,6429.84
303,1.5629449155536714e-06,0.0,6454.2
304,1.493567698317608e-06,0.0,6470.72
305,1.4293396374190754e-06,0.0,6486.64
306,1.3766062263695243e-06,0.0,6510.64
307,1.327740816496878e-06,0.0,6535.0
308,1.2688040349744397e-06,0.0,6552.84
309,1.2142415231628812e-06,0.0,6569.8
310,1.1694438571307877e-06,0.0,6596.36
311,1.127932104114975e-06,0.0,6625.2
312,1.077864594793346e-06,0.0,6641.12
313,1.0315130801027714e-06,0.0,6657.2
314,9.9345692176872e-07,0.0,6681.24
315,9.581921859101747e-07,0.0,6706.24
316,9.156592280371142e-07,0.0,6723.24
317,8.762830524648678e-07,0.0,6740.12
318,8.439538841715068e-07,0.0,6764.28
319,8.139960629144466e-07,0.0,6788.32
320,7.778637961894004e-07,0.0,6806.96
321,7.444132543216625e-07,0.0,6824.4
322,7.169492319963221e-07,0.0,6848.56
323,6.914996977028198e-07,0.0,6872.72
324,6.608048948344694e-07,0.0,6889.2
